0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
29,6th Irena Szewińska Memorial,Zdzisław Krzyszkowiak Stadium,Bydgoszcz,POL,20 JUN 2024,20 JUN 2024,2160,31,84172,28,0,"
86332
",,,
30,Holloway Pro Classic,Percy Beard Track,Gainesville,FL,USA,19 JUL 2024,19 JUL 2024,1735,38,84543,23,0,"
86278
",,
31,Meeting Madrid 2024,Estadio Vallehermoso,Madrid,ESP,21 JUN 2024,21 JUN 2024,1960,37,84291,26,0,"
86251
",,,
32,Kip Keino Classic,Nyayo National Stadium,Nairobi,KEN,20 APR 2024,20 APR 2024,2605,27,83622,35,0,"
86227
",,,
33,Spitzen Leichtathletik Luzern,Stadion Allmend,Luzern,SUI,16 JUL 2024,16 JUL 2024,2135,32,83867,30,0,"
86002
",,,
34,60° Palio Città della Quercia,Stadio Quercia,Rovereto,ITA,31 AUG 2024,03 SEP 2024,2115,33,83633,34,0,"
85748
",,,
35,70. ORLEN Janusz Kusocinski Memorial,Stadion Śląski,Chorzów,POL,18 MAY 2024,18 MAY 2024,2180,30,83430,39,0,"
85610
",,,
36,National Trials for the XXXIII Olympics Games,Nyayo National Stadium,Nairobi,KEN,14 JUN 2024,15 JUN 2024,2675,26,82781,44,0,"
85456
",,,
37,114th Drake Relays presented by Xtream powered by Mediacom,Drake Stadium,Des Moines,IA,USA,22 APR 2024,27 APR 2024,1725,39,83440,38,0,"
85165
",,
38,Clyde Littlefield Texas Relays presented by Truist,Mike A. Myers Stadium,Austin,TX,USA,27 MAR 2024,30 MAR 2024,1305,49,83819,31,0,"
85124
",,
39,LSU Invitational,LSU Bernie Moore Stadium,Baton Rouge,LA,USA,27 APR 2024,27 APR 2024,1230,51,83683,33,0,"
84913
",,
40,Racers Grand Prix,National Stadium,Kingston,JAM,01 JUN 2024,01 JUN 2024,2035,34,82775,45,0,"
84810
",,,
41,Mt. SAC Relays,Hilmer Lodge Stadium,Walnut,CA,USA,17 APR 2024,20 APR 2024,1430,46,83087,42,0,"
84517
",,
42,Seiko Golden Grand Prix,National Stadium,Tokyo,JPN,19 MAY 2024,19 MAY 2024,2010,35,82458,47,0,"
84468
",,,
43,Ed Murphey Classic,Billy J. Murphy Track and Field Complex,Memphis,TN,USA,11 JUL 2024,13 JUL 2024,1425,47,83010,43,0,"
84435
",,
44,IFAM Outdoor,Boudewijnstadion,Bruxelles,BEL,25 MAY 2024,26 MAY 2024,1130,61,83302,40,0,"
84432
",,,
45,The HBCU Pro Classic - The Edwin Moses Legends Meet,Edwin Moses Track,Atlanta,GA,USA,31 MAY 2024,31 MAY 2024,1200,54,83221,41,0,"
84421
",,
46,Pepsi Florida Relays,Percy Beard Track,Gainesville,FL,USA,29 MAR 2024,30 MAR 2024,795,89,83536,37,0,"
84331
",,
47,International Marseille Meeting,Stade Delort,Marseille,FRA,22 MAY 2024,22 MAY 2024,1445,45,82750,46,0,"
84195
",,,
48,59. Internationales Pfingstsportfest Rehlingen,Bungertstadion,Rehlingen,GER,19 MAY 2024,19 MAY 2024,1305,49,82374,48,0,"
83679
",,,
49,Czesław Cybulski Memorial,Golęcin Stadion,Poznan,POL,23 JUN 2024,23 JUN 2024,1485,43,82159,51,0,"
83644
",,,
50,Meeting Stanislas Nancy,Stade Raymond Petit,Tomblaine,FRA,25 MAY 2024,25 MAY 2024,1535,42,82076,53,0,"
83611
",,,
51,Grand Prix Lombardia - Brescia 2024,Centro Gabre Gabric,Brescia,ITA,08 SEP 2024,08 SEP 2024,2565,28,80849,71,0,"
83414
",,,
52,Atleticageneve - EAP,Centre sportif Bout-du-Monde,Genève,SUI,22 JUN 2024,22 JUN 2024,1140,59,82262,50,0,"
83402
",,,
53,13th Savona International Meeting,Centro Sportivo Fontanassa,Savona,ITA,15 MAY 2024,15 MAY 2024,1225,52,82124,52,0,"
83349
",,,
54,International Wiesław Maniak Memorial,Wieslaw Maniak Municipal Athletic Stadium,Szczecin,POL,28 AUG 2024,28 AUG 2024,1085,63,81981,55,0,"
83066
",,,
55,Bryan Clay Invitational,Cougar Athletic Stadium,Azusa,CA,USA,11 APR 2024,13 APR 2024,920,77,82012,54,0,"
82932
",,
56,Edmonton Athletics Invitational,Foote Field,Edmonton,CAN,13 JUN 2024,13 JUN 2024,1030,65,81891,56,0,"
82921
",,,
57,LSU Alumni Gold,LSU Bernie Moore Stadium,Baton Rouge,LA,USA,20 APR 2024,20 APR 2024,930,76,81833,57,0,"
82763
",,
58,Battle on the Bayou,LSU Bernie Moore Stadium,Baton Rouge,LA,USA,29 MAR 2024,30 MAR 2024,465,130,82292,49,0,"
82757
",,
59,Miramar Invitational,Ansin Sports Complex,Miramar,FL,USA,06 APR 2024,06 APR 2024,1695,40,81011,67,0,"
82706
",,
60,Meeting International Sotteville 2024,Stade Jean Adret,Sotteville-lès-Rouen,FRA,04 JUL 2024,04 JUL 2024,1215,53,81423,60,0,"
82638
",,,
61,The Penn Relay Carnival,Franklin Field,Philadelphia,PA,USA,25 APR 2024,27 APR 2024,690,99,81784,58,0,"
82474
",,
62,Meeting Guadalajara Atletismo Puma,Pista atletismo Fuente de la Niña,Guadalajara,ESP,23 JUN 2024,23 JUN 2024,995,68,81376,61,0,"
82371
",,,
63,Portland Track Festival - High Performance,Mt. Hood Community College,Gresham,OR,USA,08 JUN 2024,09 JUN 2024,680,100,81485,59,0,"
82165
",,
64,Josef Odlozil Memorial,Stadion Juliska,Praha,CZE,03 JUN 2024,03 JUN 2024,1020,67,81069,65,0,"
82089
",,,
65,Meeting International d'Athlétisme de Troyes Aube,Stade d'Athletisme Pierre Voillequin,Troyes,FRA,16 JUN 2024,16 JUN 2024,920,77,81147,64,0,"
82067
",,,
66,Meeting Sport e Solidarietà Lignano,Stadio G. Teghil,Lignano Sabbiadoro,ITA,14 JUL 2024,14 JUL 2024,720,95,81345,62,0,"
82065
",,,
67,USATF Throws Festival,Univ. of Arizona Roy P. Drachman Stadium,Tucson,AZ,USA,04 MAY 2024,04 MAY 2024,1965,36,80041,89,0,"
82006
",,
68,NACAC New Life Invitational,The Bahamas National Stadium,Nassau,BAH,16 JUN 2024,16 JUN 2024,840,82,81048,66,0,"
81888
",,,
69,Meeting International de Montreuil,Stade des Grands Pêchers,Montreuil,FRA,16 MAY 2024,16 MAY 2024,1175,57,80642,75,0,"
81817
",,,
70,Cork City Sports,Munster Technological University Track,Cork,IRL,09 JUL 2024,09 JUL 2024,820,84,80911,69,0,"
81731
",,,
